ID_new,ID_Old,species,Longitude,Latitude,source
225,4491,altae,-83.759,9.794,Velasco etal16
226,4492,altae,-83.951,9.799,Velasco etal16
227,4493,altae,-83.951,9.799,Velasco etal16
228,4494,altae,-83.951,9.799,Velasco etal16
229,4495,altae,-84.05,9.8,Velasco etal16
230,4496,altae,-83.748,9.823,Velasco etal16
231,4497,altae,-83.748,9.823,Velasco etal16
232,4498,altae,-83.779,9.835,Velasco etal16
233,4499,altae,-83.803,9.836,Velasco etal16
234,4500,altae,-83.798,9.917,Velasco etal16
235,4501,altae,-83.792,9.922,Velasco etal16
236,4502,altae,-83.797,9.924,Velasco etal16
237,4503,altae,-83.796,9.924,Velasco etal16
238,4504,altae,-83.796,9.924,Velasco etal16
239,4505,altae,-84.152,9.947,Velasco etal16
240,4506,altae,-83.775,9.948,Velasco etal16
241,4507,altae,-83.771,9.954,Velasco etal16
242,4508,altae,-83.772,9.954,Velasco etal16
243,4509,altae,-83.77,9.966,Velasco etal16
244,4510,altae,-83.764,9.97,Velasco etal16
245,4511,altae,-83.693,9.976,Velasco etal16
246,4512,altae,-83.693,9.976,Velasco etal16
247,4513,altae,-83.693,9.976,Velasco etal16
248,4514,altae,-83.74,9.977,Velasco etal16
249,4515,altae,-83.763,9.979,Velasco etal16
250,4516,altae,-83.763,9.979,Velasco etal16
251,4517,altae,-83.988,10.027,Velasco etal16
252,4518,altae,-83.988,10.027,Velasco etal16
253,4519,altae,-83.988,10.027,Velasco etal16
254,4520,altae,-83.989,10.028,Velasco etal16
255,4521,altae,-83.988,10.033,Velasco etal16
256,4522,altae,-83.988,10.033,Velasco etal16
257,4523,altae,-83.988,10.033,Velasco etal16
258,4524,altae,-83.95,10.033,Velasco etal16
259,4525,altae,-83.988,10.04,Velasco etal16
260,4526,altae,-83.988,10.04,Velasco etal16
261,4527,altae,-83.988,10.04,Velasco etal16
262,4528,altae,-83.989,10.041,Velasco etal16
263,4529,altae,-83.988,10.046,Velasco etal16
264,4530,altae,-83.983,10.05,Velasco etal16
265,4531,altae,-83.988,10.058,Velasco etal16
266,4532,altae,-83.988,10.058,Velasco etal16
267,4533,altae,-83.988,10.058,Velasco etal16
268,4534,altae,-83.986,10.06,Velasco etal16
269,4535,altae,-84.017,10.083,Velasco etal16
270,4536,altae,-84.017,10.083,Velasco etal16
271,4537,altae,-84.067,10.083,Velasco etal16
272,4538,altae,-84.07,10.092,Velasco etal16
273,4539,altae,-84.063,10.098,Velasco etal16
274,4540,altae,-84.063,10.098,Velasco etal16
275,4541,altae,-84.063,10.098,Velasco etal16
276,4542,altae,-84.04,10.1,Velasco etal16
277,4543,altae,-84.111,10.101,Velasco etal16
278,4544,altae,-84.174,10.128,Velasco etal16
279,4545,altae,-84.148,10.154,Velasco etal16
280,4546,altae,-84.148,10.154,Velasco etal16
281,4547,altae,-84.148,10.154,Velasco etal16
282,4548,altae,-84.158,10.168,Velasco etal16
283,4549,altae,-84.103,10.18,Velasco etal16
284,4550,altae,-84.158,10.181,Velasco etal16
285,4551,altae,-84.153,10.182,Velasco etal16
286,4552,altae,-84,10.2,Velasco etal16
287,4553,altae,-84,10.2,Velasco etal16
288,4554,altae,-84.17,10.209,Velasco etal16
289,4555,altae,-84.171,10.216,Velasco etal16
290,4556,altae,-84.183,10.217,Velasco etal16
291,4557,altae,-84.167,10.217,Velasco etal16
292,4558,altae,-84.183,10.217,Velasco etal16
293,4559,altae,-84.183,10.217,Velasco etal16
294,4560,altae,-84.419,10.226,Velasco etal16
295,4561,altae,-84.419,10.226,Velasco etal16
