"species","svl_mean","head.count_mean","midline.count_mean","dorsal.count_mean","dorsolateral.count_mean","chin.count_mean","ventral.count_mean","foretoes.count.t_mean","foretoes.count.b_mean","hindtoes.count.t_mean","hindtoes.count.b_mean"
"pijolense",57.17,-3.40836730552944,-3.40836730552944,-2.92696193177492,-2.67519877113273,-2.33276313550468,-3.40836730552944,-2.31115754232513,-2.79369799034693,-2.67519877113273,-3.33129196561581
"planiceps",66.128,-3.47373285380312,-3.35213497935919,-3.14197065439284,-2.80076690630486,-2.74323049181451,-3.812651997958,-2.49623788074952,-3.08255994720985,-2.97335460950424,-3.39676368962203
"porcus",153.666666666667,-5.5245996272006,-5.14627298292094,-5.65975466323665,-5.58537347946525,-3.53514412857993,-4.69862030037663,-3.45319695440031,-3.99900939004513,-3.72124713081063,-4.12818836786305
"prasinorius",42.27,-2.88902629283804,-2.45328396657338,-2.21233140461285,-2.16882571611803,-1.97017726689388,-2.59823859038662,-1.25584428026698,-1.96571913714758,-1.65424146974024,-2.15055720652867
"properus",40.2466666666667,-3.05440430946698,-1.76400397249769,-1.75123101773031,-1.72577335813545,-1.76530860560473,-2.39216026160846,-1.44509392142348,-1.88419441796779,-1.76530860560473,-2.27661872558005
"quadriocellifer",40.25,-2.49943600235333,-2.1809822712348,-2.01392818657163,-1.74566419997695,-1.688505786137,-2.63296739497785,-1.52605630349505,-2.08567209143047,-1.87082734293096,-2.27629245103912
"quaggulus",39.0425,-2.53666396392316,-2.64901004943391,-2.72608538934754,-1.96586345879077,-1.69622932769276,-2.46868053505225,-1.75934664508604,-2.17191162182463,-2.09115402228814,-2.56489199027861
"ravitergum",42.88,-3.31488642364923,-1.96086132309813,-1.82587142847537,-1.81322117515192,-1.93166259977726,-2.5628477252611,-1.40548443763204,-2.10173724819162,-1.85367783725292,-2.45127594960399
"roatanensis",57.9066666666667,-3.18842041094125,-2.93574829932024,-2.63981855873959,-2.5305894230511,-2.57231047070243,-3.36283645886277,-2.08746594405956,-2.81987413650496,-2.57231047070243,-3.222431970504
"rubribarbaris",50.82,-3.43399365607724,-3.25167209928328,-3.25167209928328,-2.55852491872334,-2.21021822445512,-3.09752141945602,-2.00218245613288,-2.56179824406831,-2.40437423889608,-2.84620699117512
"salvini",63.88,-4.11357676541948,-3.19728603354532,-3.19728603354532,-3.101975853741,-2.28099530167117,-3.101975853741,-2.3244248595985,-2.79442848884424,-2.50413885298537,-2.93492176907783
"saxatilis",53.4666666666667,-3.36243630412268,-2.99098275557726,-2.74967647583503,-2.39897905149062,-2.2791627612168,-3.07061339167138,-2.01126211488873,-2.5855176474691,-2.43824006337609,-2.8773405599204
"scriptus",49.606,-3.20757442912814,-2.56571315435773,-2.35757930368418,-2.24770918904233,-2.15122395919347,-2.84922253528253,-1.65568895901107,-2.46413467122769,-2.11537788634862,-2.61486648612535
"scypheus",77.15,-3.62726423752139,-3.39574675755657,-3.171346046759,-2.90708344632631,-2.98679731479036,-3.93125892363121,-2.90864786060758,-3.39118830862938,-3.20361530732779,-3.62726423752139
"semilineatus",42.0075,-3.00756316076063,-3.10892943778767,-3.10892943778767,-2.26468618959485,-2.19942765685263,-3.05314354995912,-1.77121960419303,-1.95354116098699,-2.07910511189325,-2.52424840288519
"shrevei",48.12,-3.32551648079672,-3.14319492400276,-2.98904424417551,-2.45004774344282,-2.37000503576928,-3.14319492400276,-1.88696574753091,-2.44658153546633,-2.29589706361556,-2.85551285155098
"smaragdinus",49.285,-3.73553893368376,-2.96531641321019,-2.96531641321019,-2.83965919906974,-2.20736048599855,-2.83965919906974,-1.48148469711128,-2.17878127907858,-1.94377946445571,-2.34924457256387
"spilorhipis",47.795,-3.21881671483568,-3.42154926888976,-3.53312104454686,-2.61683031267271,-2.4485941943621,-3.1276559364387,-1.95199267492244,-2.43453312294423,-2.39448740204199,-2.90673956029918
"strahmi",62.57,-3.67991075646084,-3.2665714698686,-2.78403102184681,-2.59579223622935,-2.54017941867424,-3.20767995204041,-2.3462361775468,-2.97261766179448,-2.68499606496576,-3.20767995204041
"subocularis",44.14,-2.81539070201072,-2.86677426195313,-2.86677426195313,-2.24971329872018,-1.85486172589724,-2.91815782189555,-1.6723022081966,-2.20204727656879,-2.17362708139319,-2.56821711372933
"terueli",34.42,-2.87989203694078,-1.78127974827267,-1.62712906844541,-1.70123704059913,-1.62712906844541,-2.32027624900536,-1.22166396033725,-1.78127974827267,-1.55813619695846,-2.06896182072445
"townsendi",43.145,-2.36598389973809,-2.51899950529808,-2.23480176750435,-1.9759046209633,-1.62518162927598,-2.46631924746917,-1.66783316813296,-2.22744895606838,-2.04267031727556,-2.36598389973809
"tropidogaster",51.23,-2.75541776655617,-2.860778282214,-2.66010758675185,-2.28541413731044,-2.06227058599623,-2.97856131787038,-2.01021777619198,-2.85751563657918,-2.49305350208868,-3.1120927104949
"tropidolepis",52.73,-2.7693866510601,-2.76731195035643,-2.49450921271243,-2.50177629813475,-2.31213851614126,-3.04862700789418,-2.40544092728144,-2.77242551482154,-2.76687406709673,-3.10236370392169
"vermiculatus",76,-3.65083138647641,-3.01484261975641,-3.07546724157284,-3.07546724157284,-2.51585145363742,-3.28310660635109,-2.44685858215047,-2.8035335260892,-2.58995942579114,-3.28310660635109
"vinosus",44.39,-3.386057962053,-1.9618072221547,-1.86498855570986,-1.9032191700721,-1.86498855570986,-2.54000757395073,-1.47942400987431,-2.28621338609112,-1.95934718638882,-2.43799717024407
"vittigerus",67.75,-3.37354865525288,-3.34159031237541,-3.34410289633879,-2.99730493987817,-2.66126645541235,-3.63854227924356,-2.50655310594638,-3.13293459019407,-2.91201225052748,-3.36510693963518
"wilsoni",50.8666666666667,-3.19992393194727,-3.4472363801904,-3.58239141622645,-3.05264634785426,-2.40571466505808,-3.43362904868365,-2.10026506994427,-2.55711373799486,-2.45341494627164,-2.88510339566699
