"species","svl_mean","head.count_mean","midline.count_mean","dorsal.count_mean","dorsolateral.count_mean","chin.count_mean","ventral.count_mean","foretoes.count.t_mean","foretoes.count.b_mean","hindtoes.count.t_mean","hindtoes.count.b_mean"
"gemmosus",62.4,-3.05475561400345,-2.74460068569961,-2.61943754274561,-2.61943754274561,-2.23377506193362,-2.74460068569961,-2.41079867763428,-2.74727091425549,-2.88770152934029,-3.2554263094656
"gorgonae",55.325,-2.81888777396933,-2.47231418368936,-2.32226188746419,-2.37942030130414,-2.15138724060316,-2.68770564173559,-2.03310705989753,-2.61468246480037,-2.44004492312057,-3.13319210368052
"gracilipes",51.9,-2.88671693902677,-2.88671693902677,-2.59903486657499,-2.08820924280899,-2.03941907863956,-2.78135642336894,-2.04262935426981,-2.88992721465701,-2.59903486657499,-3.00449997468315
"grahami",64.82,-3.58411320628844,-3.22743826234971,-2.8909660257285,-2.75743463310397,-2.63965159744759,-3.13212808254539,-2.35453692050106,-3.047684101061,-2.43898090198544,-2.82197315424155
"gundlachi",65.09,-3.34208372424535,-2.97435894412003,-2.83125810047936,-2.70609495752535,-2.59486932241513,-3.05440165179357,-2.35869365037195,-3.0518408309319,-2.83125810047936,-3.59339815252626
"hendersoni",49.102,-3.09440995484144,-2.57996022285282,-2.32771781825644,-1.9807596088091,-2.13189566940563,-2.8715378257142,-1.74981952139752,-2.26378669351218,-2.1556168178872,-2.71610515496509
"heterodermus",75.39,-4.44487170688068,-4.03940659877252,-3.89556556254663,-3.75959870480481,-3.03195508850139,-3.64015275066363,-2.59311818354528,-3.03085255222223,-2.78664363027715,-3.22916272446218
"homolechis",58.1066666666667,-3.46773743594113,-2.63549040012947,-2.44174731201081,-2.28741766126203,-2.48625777621899,-3.15705773966037,-2.17831318556487,-2.92284392606723,-2.51808353559968,-3.07853571588945
"huilae",73.1433333333333,-3.77751470038127,-3.23765127241523,-3.1090701772059,-3.01816406489121,-2.66207560609616,-3.24514222436592,-2.40594001267419,-3.06061690939703,-2.84347378138588,-3.34103624851651
"humilis",38.0783333333333,-2.60007244587426,-2.61763253181723,-2.61763253181723,-2.08436808662322,-1.71232440528847,-2.36432823952649,-1.82785072130501,-1.97661308884781,-2.09603348192656,-2.47035494772422
"imias",65.08,-3.74483436625838,-3.05168718569844,-2.82854363438423,-2.59215485632,-2.59215485632,-3.05168718569844,-2.35854000513849,-3.05168718569844,-2.76400511324666,-3.33936925815022
"immaculogularis",58.12,-3.44217210891291,-3.23156537637476,-3.17267385854656,-2.70900357451619,-2.39653410924949,-3.11999360071765,-2.14220657741026,-2.82747957948613,-2.67450713877272,-3.17267385854656
"inexpectatus",33.535,-2.42144230449833,-2.01597719639017,-1.91061668073234,-1.47288231205539,-1.14541932818552,-1.7718008124332,-1.32034862115916,-1.50267017795311,-1.64825241626485,-1.86296159083018
"isolepis",39.63,-3.44807460621762,-2.24410180189168,-2.24410180189168,-2.24410180189168,-1.77409817264595,-2.34946231754951,-1.24663949634505,-1.65210460445322,-1.5021644571623,-1.90762956527047
"jacare",71.79,-3.78877294564874,-3.33678782190568,-3.02663289360184,-3.16973373724251,-2.5566292643561,-3.65524155302421,-2.55894676249647,-3.0289503917422,-2.73895082115006,-3.43209800171
"johnmeyeri",67.46,-3.53081016907212,-3.21235643795358,-2.97119438113669,-2.90220150964974,-2.51920925739364,-3.53081016907212,-2.71987995285579,-3.41302713341573,-3.04530235329042,-3.53081016907212
"krugi",45.73,-3.44441809695005,-2.75127091639011,-2.43281718527157,-1.8862734789035,-2.43281718527157,-2.63348788073372,-1.78253370914341,-2.34214949707883,-2.05812373583016,-2.75127091639011
"laeviventris",47.31,-3.29108782938207,-2.95461559276086,-2.82108420013634,-2.33557638435463,-2.01015398392001,-2.82108420013634,-2.01366892602745,-2.41913403413562,-2.33557638435463,-2.70330116447995
"landestoyi",132,-5.16043365918465,-4.87275158673287,-5.00628297935739,-5.00628297935739,-3.65635626240838,-4.64960803541866,-3.28863148228306,-3.90767069068928,-3.6199886182375,-4.06182137051654
"latifrons",130.5,-4.80436854862479,-4.36366681218793,-4.25506240429073,-4.12571513650147,-3.47875461600703,-4.0382444117533,-3.58009904581622,-4.22056596854726,-3.95853054328925,-4.36366681218793
"lemurinus",68.44,-3.62365430272147,-3.43910557075283,-3.20256292286126,-3.03985172264394,-2.83342911494105,-3.55688860640921,-2.45944317941421,-3.29643139620005,-2.86374142584927,-3.56476278489328
"lineatopus",61.62,-3.8198814003846,-2.86436995535716,-2.65673059057892,-2.48488033365226,-2.59610596876248,-3.03142404002033,-2.13077608521663,-2.71856275011875,-2.72126911171649,-3.34987777113886
"lineatus",73.55,-4.0417283607785,-3.34650647951488,-3.34858118021856,-3.12971399588008,-2.8299851473044,-3.50461975748681,-2.48753895496046,-3.29536354117715,-2.89621641863669,-3.55730001531572
"lionotus",71.0733333333333,-3.41111381755142,-3.63950682118835,-3.63425736886563,-3.02559159024187,-2.58281160095542,-3.10302751704365,-2.88565519744979,-3.23034645329331,-3.20211135819962,-3.41446392950259
"longiceps",77.38,-3.88895061707388,-3.68621806301979,-3.80400109867618,-3.68621806301979,-3.02165008937982,-3.63353780519088,-2.14792587543374,-3.1775452926149,-2.6653674561713,-3.17761961442849
"loysiana",41.69,-3.26025766264697,-2.08160266630532,-2.0074946941516,-2.16164537397886,-1.65081975021287,-2.44932744643064,-1.46449017202138,-2.15763735258132,-1.87396330152708,-2.24865675096849
"luteosignifer",47.03,-3.27808466847288,-2.17947237980477,-2.05430923685076,-1.94308360174054,-2.24846525129172,-2.69029800357076,-1.59168571490265,-2.40261593111898,-2.17947237980477,-2.69029800357076
